asked wl,osa wl,wlm wl
1545.0,+1.54499620E-006,+1.54500307E-006
1546.6666666666667,+1.54666430E-006,+1.54666885E-006
1548.3333333333333,+1.54832970E-006,+1.54833545E-006
1550.0,+1.54999660E-006,+1.55000261E-006
1551.6666666666667,+1.55166200E-006,+1.55166976E-006
1553.3333333333333,+1.55332920E-006,+1.55333547E-006
1555.0,+1.55499470E-006,+1.55500047E-006
1556.6666666666667,+1.55665980E-006,+1.55666825E-006
1558.3333333333333,+1.55833030E-006,+1.55833508E-006
1560.0,+1.55999980E-006,+1.56000334E-006
